FeatureID,RP_S37,RP_S38,RP_S39,RP_S40,RP_S41,RP_S42,RP_S43,RP_S44,RP_S45,RP_S46,RP_S47,RP_S48,RP_S49,RP_S50,RP_S51,RP_S52,RP_S53,RP_S54,RP_S55,RP_S56,RP_S57,RP_S58,RP_S59,RP_S60,RP_S61,RP_S62,RP_S63,RP_S64,RP_S65,RP_S66,RP_S67,RP_S68,RP_S69,RP_S70,RP_S71,RP_S72
Feature0219,152739911.4,146468278,145045628.2,123370802.3,126005296.7,124392827.9,123858322.9,119322721.2,126996314.3,128778488.9,149602993.8,118788768.2,138149987.1,140076698.7,135097374.2,129039883.4,143296216.8,136390877.1,136521617,146829900.2,111631218.8,124121440.5,124782165.9,119545434.4,123140289.8,113737515.2,91060823.98,109916473,85888480.3,98324631.04,101915139.8,128585848.2,133991432.5,115979246.6,116588696.3,136587004.6
Feature0218,88501555.77,83929857.17,86537823.18,52288870.36,66876184.12,52711601.25,47553370.02,50357296.17,88070925.77,77026769.36,81853422.31,106274977.4,94766116.07,89590727.96,78283498.97,77887956.58,101673442.6,101342921.3,78107124.54,83247522.22,104987962.7,123641249.7,120942980.6,115682127.4,152458400,132975554.2,133239374,124598621.2,187484796,202575329.5,167937341.9,198728093.7,163717172.8,127655509.5,153510277.7,162589315.1
Feature0217,625132.9958,622342.6709,645282.1681,647452.3168,714779.135,693469.6842,647007.332,644900.4747,636709.3791,673824.8248,723977.7277,642904.9736,631623.3282,643264.3947,745138.6183,628592.1368,698118.0594,589345.3358,655561.9771,748113.272,583437.8213,614849.1925,588176.8514,575960.9204,627307.0936,721774.8581,647790.2848,707589.6102,632161.7488,648681.1421,624018.3236,648095.3852,676920.7752,708229.8713,606950.8054,628607.7528
Feature0216,85971435.98,78992223.58,62691330.98,86370546.11,112940200.3,97878336.62,116688565.8,101520173.2,91888684.95,99403899.02,123424518.7,95391119.36,103107990.4,100066524.7,116299647.4,61700030.64,110290725.8,56889323.47,125708299.7,139095732.7,81761880.28,142146024.2,92406792.49,100873410.6,125212699.4,124352087.7,96572361.84,113761733.2,96380614.1,117810277.8,85717188.02,95118466.8,116244629.9,84891596.3,89088314.51,114278544.9
Feature0215,68676525.54,45431798.71,63635087.77,105450470.4,103765788,59144404.71,60991147.13,72687679.8,64629975.68,81440905.91,121436499.1,66899991.61,57831984.67,42917265.11,87906393.79,34856892.66,69281767.46,56000420.26,41830839.11,75644668.42,67565262.84,80036025.99,63769064.99,75937089.21,45778078.69,51837459.65,64378717.13,126412020.5,67273750.62,75578094.5,47033470.4,53318951.28,54938494.75,50726849.48,48122906.9,46856242.08
Feature0214,17901243.94,21386656.5,11523616.89,15277976.56,20213046.74,25839863.6,23057032.14,18457798.43,22527665.35,24561845.13,28141836.94,19986409.05,22212736.92,22562649.45,21778155.93,24679640.41,26622132.99,21296134.97,32011701.41,20769631.17,12090035.66,13360113.75,12939441.95,10754526.44,12555759.41,13148442.41,9950079.538,10077842.29,8776840.937,10323359.85,8087679.223,6582069.36,8286676.919,9041544.034,12023218.72,12103054.51
Feature0213,34564045.12,32023151.25,36103760.25,80781842.14,79624972.28,41817545.91,33875415.44,44362924.13,42927873.59,60828953.03,93635783.5,49866881.71,37002095.92,35658741.83,55859727.64,33622509.49,45750009.96,37455440.42,23291686.06,55949330.94,46873072.07,53210413.33,36107031.18,37410757.32,28428502.63,34102573.37,36555988.95,98325613.29,37590199.81,52513757.78,32934071.3,29903267.36,29127651.93,25762908.56,27476143.9,27043877.61
Feature0212,78072871.86,6552196.195,7615652.598,3003159.202,6226024.648,782538.7908,13908811.68,15933631.42,6310464.835,31382655.32,9264963.58,1557977.489,4080414.332,8556715.136,4234986.865,6047582.158,4607899.27,9363408.95,9028924.787,6378100.725,1851157.501,2546106.726,5351326.939,5470788.72,23035714.03,7976292.112,4808457.582,7723705.829,7419086.201,9812008.652,6273179.774,12652228.13,18652840.21,5161377.147,1458166.743,2047025.827
Feature0211,73502271.75,72175246.45,75589187.6,61627848.37,68478841.57,64410862.45,61756480.48,60188754.4,58288874.93,64183875.73,77788325.76,59407933.15,73205103.15,74996289.42,71830226.33,68330613.08,75923219.56,71843809.65,70284323.92,77842160.61,61143294.13,63723133.8,64703277.86,61476532.8,65087160.54,59528187.5,47314604.42,57931819.85,44582426.11,49792010.64,52323325.21,70575556.47,72060714.53,60167538.39,62242337.54,76785361.83
Feature0210,590909.7136,501529.7667,524477.0897,528790.9057,605296.9604,571069.2456,538156.9058,575495.2078,563028.2074,548266.9929,579752.7511,576090.2432,555256.1318,574293.8815,649018.7827,521990.7449,581336.8643,523461.3741,574692.672,645410.7058,522157.8435,504041.2033,520107.0032,490825.7333,526853.8871,579268.2545,526315.9526,575633.7689,614086.1545,504819.747,508507.8708,508994.5751,584649.4337,552339.3126,499546.0412,525965.9237
